Approved Symbol	Synonyms	Chromosome	Entrez Gene ID	Gene Family Name
IGHV3-25		14q32.33	28441	Immunoglobulin heavy locus at 14q32.33
IGHV3-29		14q32.33	28440	Immunoglobulin heavy locus at 14q32.33
IGHV3-30		14q32.33	28439	Immunoglobulin heavy locus at 14q32.33
IGHV3-30-2		14q32.33	28438	Immunoglobulin heavy locus at 14q32.33
IGHV3-30-3		14q32.33	57290	Immunoglobulin heavy locus at 14q32.33
IGHV3-30-5		14q32.33 not on reference assembly	89770	Immunoglobulin heavy locus at 14q32.33
IGHV3-32		14q32.33	28435	Immunoglobulin heavy locus at 14q32.33
IGHV3-33		14q32.33	28434	Immunoglobulin heavy locus at 14q32.33
IGHV3-33-2		14q32.33	28433	Immunoglobulin heavy locus at 14q32.33
IGHV3-35		14q32.33	28432	Immunoglobulin heavy locus at 14q32.33
IGHV3-36		14q32.33	28431	Immunoglobulin heavy locus at 14q32.33
IGHV3-37		14q32.33	28430	Immunoglobulin heavy locus at 14q32.33
IGHV3-38		14q32.33	28429	Immunoglobulin heavy locus at 14q32.33
IGHV3-38-3	IGHV3-d	14q32.33 not on reference assembly	28404	Immunoglobulin heavy locus at 14q32.33
IGHV3-41		14q32.33	28428	Immunoglobulin heavy locus at 14q32.33
IGHV3-42		14q32.33	28427	Immunoglobulin heavy locus at 14q32.33
IGHV3-43		14q32.33	28426	Immunoglobulin heavy locus at 14q32.33
IGHV3-43D		14q32.33 not on reference assembly	103106901	Immunoglobulin heavy locus at 14q32.33
IGHV3-47		14q32.32	28425	Immunoglobulin heavy locus at 14q32.33
IGHV3-48		14q32.33	28424	Immunoglobulin heavy locus at 14q32.33
IGHV3-49		14q32.33	28423	Immunoglobulin heavy locus at 14q32.33
IGHV3-50		14q32.33	28422	Immunoglobulin heavy locus at 14q32.33
IGHV3-52		14q32.33	28421	Immunoglobulin heavy locus at 14q32.33
IGHV3-53		14q32.33	28420	Immunoglobulin heavy locus at 14q32.33
IGHV3-54		14q32.33	28419	Immunoglobulin heavy locus at 14q32.33
IGHV3-57		14q32.33	28418	Immunoglobulin heavy locus at 14q32.33
IGHV3-60		14q32.33	28417	Immunoglobulin heavy locus at 14q32.33
IGHV3-62		14q32.33	28416	Immunoglobulin heavy locus at 14q32.33
IGHV3-63		14q32.33	28415	Immunoglobulin heavy locus at 14q32.33
IGHV3-64		14q32.33	28414	Immunoglobulin heavy locus at 14q32.33
IGHV3-64D		14q32.33	102723170	
IGHV3-65		14q32.33	28413	Immunoglobulin heavy locus at 14q32.33
IGHV3-66		14q32.33	28412	Immunoglobulin heavy locus at 14q32.33
IGHV3-69-1	IGHV3-h	14q32.33	28402	Immunoglobulin heavy locus at 14q32.33
IGHV3-71	IGHV3-g	14q32.33	28411	Immunoglobulin heavy locus at 14q32.33
IGHV3-72		14q32.33	28410	Immunoglobulin heavy locus at 14q32.33
IGHV3-73		14q32.33	28409	Immunoglobulin heavy locus at 14q32.33
IGHV3-74		14q32.33	28408	Immunoglobulin heavy locus at 14q32.33
IGHV3-75		14q32.33	28407	Immunoglobulin heavy locus at 14q32.33
IGHV3-76		14q32.33	28406	Immunoglobulin heavy locus at 14q32.33
IGHV3-79		14q32.33	28405	Immunoglobulin heavy locus at 14q32.33
IGHV3OR15-7	IGHV3/OR15-7	15q11.2	28318	Immunoglobulin heavy (IGH) orphons
IGHV3OR16-6	IGHV3/OR16-6	16p11.2	647187	Immunoglobulin heavy (IGH) orphons
IGHV3OR16-7	IGHV3/OR16-7	16p11.2	28309	Immunoglobulin heavy (IGH) orphons
IGHV3OR16-8	IGHV3/OR16-8	16p11.2	388255	Immunoglobulin heavy (IGH) orphons
IGHV3OR16-9	IGHV3/OR16-9	16p11.2	28307	Immunoglobulin heavy (IGH) orphons
IGHV3OR16-10	IGHV3/OR16-10	16p11.2	28306	Immunoglobulin heavy (IGH) orphons
IGHV3OR16-11	IGHV3/OR16-11	16p11.2	28305	Immunoglobulin heavy (IGH) orphons
IGHV3OR16-12	IGHV3/OR16-12	16p11.2	28304	Immunoglobulin heavy (IGH) orphons
IGHV3OR16-13	IGHV3/OR16-13	16p11.2	100287372	Immunoglobulin heavy (IGH) orphons
IGHV3OR16-14	IGHV3/OR16-14	16p11.2	100568447	Immunoglobulin heavy (IGH) orphons
IGHV3OR16-15	IGHV3/OR16-15	16p11.2	28301	Immunoglobulin heavy (IGH) orphons
IGHV3OR16-16	IGHV3/OR16-16	16p11.2	28300	Immunoglobulin heavy (IGH) orphons
IGHV4-4		14q32.33	28401	Immunoglobulin heavy locus at 14q32.33
IGHV4-28		14q32.33	28400	Immunoglobulin heavy locus at 14q32.33
IGHV4-30-1		14q32.33	28399	Immunoglobulin heavy locus at 14q32.33
IGHV4-30-2	IGHV4-3, IGHV4302	14q32.33	28398	Immunoglobulin heavy locus at 14q32.33
IGHV4-30-4	IGHV4-3, IGHV4304	14q32.33	28397	Immunoglobulin heavy locus at 14q32.33
IGHV4-31		14q32.33	28396	Immunoglobulin heavy locus at 14q32.33
IGHV4-34		14q32.33	28395	Immunoglobulin heavy locus at 14q32.33
IGHV4-38-2		14q32.33	28389	Immunoglobulin heavy locus at 14q32.33
IGHV4-39		14q32.33	28394	Immunoglobulin heavy locus at 14q32.33
IGHV4-55		14q32.33	28393	Immunoglobulin heavy locus at 14q32.33
IGHV4-59		14q32.33	28392	Immunoglobulin heavy locus at 14q32.33
IGHV4-61		14q32.33	28391	Immunoglobulin heavy locus at 14q32.33
IGHV4-80		14q32.33	28390	Immunoglobulin heavy locus at 14q32.33
IGHV4OR15-8	IGHV4/OR15-8, IGHV4OR158	15q11.2	28317	Immunoglobulin heavy (IGH) orphons
IGHV5-10-1	IGHV5-a	14q32.33	28386	Immunoglobulin heavy locus at 14q32.33
IGHV5-51		14q32.33	28388	Immunoglobulin heavy locus at 14q32.33
IGHV5-78		14q32.33	28387	Immunoglobulin heavy locus at 14q32.33
IGHV6-1		14q32.33	28385	Immunoglobulin heavy locus at 14q32.33
IGHV7-4-1		14q32.33	57289	Immunoglobulin heavy locus at 14q32.33
IGHV7-27		14q32.33	28383	Immunoglobulin heavy locus at 14q32.33
IGHV7-34-1		14q32.33	28382	Immunoglobulin heavy locus at 14q32.33
IGHV7-40		14q32.33	28381	Immunoglobulin heavy locus at 14q32.33
IGHV7-56		14q32.33	28380	Immunoglobulin heavy locus at 14q32.33
IGHV7-81		14q32.33	28378	Immunoglobulin heavy locus at 14q32.33
IGHVII-1-1	IGHV(II)-1-1	14q32.33	28377	Immunoglobulin heavy locus at 14q32.33
IGHVII-15-1	IGHV(II)-15-1	14q32.33	28376	Immunoglobulin heavy locus at 14q32.33
IGHVII-20-1	IGHV(II)-20-1	14q32.33	28375	Immunoglobulin heavy locus at 14q32.33
IGHVII-22-1	IGHV(II)-22-1	14q32.33	28374	Immunoglobulin heavy locus at 14q32.33
IGHVII-26-2	IGHV(II)-26-2	14q32.33	28373	Immunoglobulin heavy locus at 14q32.33
IGHVII-28-1	IGHV(II)-28-1	14q32.33	28372	Immunoglobulin heavy locus at 14q32.33
IGHVII-30-1	IGHV(II)-30-1	14q32.33	28371	Immunoglobulin heavy locus at 14q32.33
IGHVII-31-1	IGHV(II)-31-1	14q32.33	28370	Immunoglobulin heavy locus at 14q32.33
IGHVII-33-1	IGHV(II)-33-1	14q32.33	28369	Immunoglobulin heavy locus at 14q32.33
IGHVII-40-1	IGHV(II)-40-1	14q32.33	28368	Immunoglobulin heavy locus at 14q32.33
IGHVII-43-1	IGHV(II)-43-1	14q32.33	28367	Immunoglobulin heavy locus at 14q32.33
IGHVII-44-2	IGHV(II)-44-2	14q32.33	28366	Immunoglobulin heavy locus at 14q32.33
IGHVII-46-1	IGHV(II)-46-1	14q32.33	28365	Immunoglobulin heavy locus at 14q32.33
IGHVII-49-1	IGHV(II)-49-1	14q32.33	28364	Immunoglobulin heavy locus at 14q32.33
IGHVII-51-2	IGHV(II)-51-2	14q32.33	28363	Immunoglobulin heavy locus at 14q32.33
IGHVII-53-1	IGHV(II)-53-1	14q32.33	28362	Immunoglobulin heavy locus at 14q32.33
IGHVII-60-1	IGHV(II)-60-1	14q32.33	28361	Immunoglobulin heavy locus at 14q32.33
IGHVII-62-1	IGHV(II)-62-1	14q32.33	28360	Immunoglobulin heavy locus at 14q32.33
IGHVII-65-1	IGHV(II)-65-1	14q32.33	28359	Immunoglobulin heavy locus at 14q32.33
IGHVII-67-1	IGHV(II)-67-1	14q32.33	28358	Immunoglobulin heavy locus at 14q32.33
IGHVII-74-1	IGHV(II)-74-1	14q32.33	28357	Immunoglobulin heavy locus at 14q32.33
IGHVII-78-1	IGHV(II)-78-1	14q32.33	28356	Immunoglobulin heavy locus at 14q32.33
IGHVIII-2-1	IGHV(III)-2-1	14q32.33	28355	Immunoglobulin heavy locus at 14q32.33
IGHVIII-5-1	IGHV(III)-5-1	14q32.33	28354	Immunoglobulin heavy locus at 14q32.33
IGHVIII-5-2	IGHV(III)-5-2	14q32.33	28353	Immunoglobulin heavy locus at 14q32.33
IGHVIII-11-1	IGHV(III)-11-1	14q32.33	28352	Immunoglobulin heavy locus at 14q32.33
IGHVIII-13-1	IGHV(III)-13-1	14q32.33	28351	Immunoglobulin heavy locus at 14q32.33
IGHVIII-16-1	IGHV(III)-16-1	14q32.33	28350	Immunoglobulin heavy locus at 14q32.33
IGHVIII-22-2	IGHV(III)-22-2	14q32.33	28349	Immunoglobulin heavy locus at 14q32.33
IGHVIII-25-1	IGHV(III)-25-1	14q32.33	28348	Immunoglobulin heavy locus at 14q32.33
IGHVIII-26-1	IGHV(III)-26-1	14q32.33	28347	Immunoglobulin heavy locus at 14q32.33
IGHVIII-38-1	IGHV(III)-38-1	14q32.33	28346	Immunoglobulin heavy locus at 14q32.33
IGHVIII-44	IGHV(III)-44	14q32.33	28345	Immunoglobulin heavy locus at 14q32.33
IGHVIII-47-1	IGHV(III)-47-1	14q32.33	28344	Immunoglobulin heavy locus at 14q32.33
IGHVIII-51-1	IGHV(III)-51-1	14q32.33	28343	Immunoglobulin heavy locus at 14q32.33
IGHVIII-67-2	IGHV(III)-67-2	14q32.33	28342	Immunoglobulin heavy locus at 14q32.33
IGHVIII-67-3	IGHV(III)-67-3	14q32.33	28341	Immunoglobulin heavy locus at 14q32.33
IGHVIII-67-4	IGHV(III)-67-4	14q32.33	28340	Immunoglobulin heavy locus at 14q32.33
IGHVIII-76-1	IGHV(III)-76-1	14q32.33	28339	Immunoglobulin heavy locus at 14q32.33
IGHVIII-82	IGHV(III)-82	14q32.33	28338	Immunoglobulin heavy locus at 14q32.33
IGHVIV-44-1	IGHV(IV)-44-1	14q32.33	28337	Immunoglobulin heavy locus at 14q32.33
IGIP	LOC492311	5q31	492311	
IGJP1		8q21.2	3513	
IGK		2p11.2	50802	Immunoglobulin kappa locus at 2p11.2
IGKC	HCAK1	2p11.2	3514	Immunoglobulin kappa locus at 2p11.2
IGKDEL		2q11-q13	3515	
IGKJ1	J1	2p11.2	28950	Immunoglobulin kappa locus at 2p11.2
IGKJ2	J2	2p11.2	28949	Immunoglobulin kappa locus at 2p11.2
IGKJ3		2p11.2	28948	Immunoglobulin kappa locus at 2p11.2
IGKJ4		2p11.2	28947	Immunoglobulin kappa locus at 2p11.2
IGKJ5		2p11.2	28946	Immunoglobulin kappa locus at 2p11.2
IGKV1-5		2p11.2	28299	Immunoglobulin kappa locus at 2p11.2
IGKV1-6		2p11.2	28943	Immunoglobulin kappa locus at 2p11.2
IGKV1-8	IGKV18, L9	2p11.2	28942	Immunoglobulin kappa locus at 2p11.2
IGKV1-9	IGKV19, L8	2p11.2	28941	Immunoglobulin kappa locus at 2p11.2
IGKV1-12	IGKV112, L19	2p11.2	28940	Immunoglobulin kappa locus at 2p11.2
IGKV1-13		2p11.2	28939	Immunoglobulin kappa locus at 2p11.2
IGKV1-16	IGKV116, L1	2p11.2	28938	Immunoglobulin kappa locus at 2p11.2
IGKV1-17	IGKV117, A30	2p11.2	28937	Immunoglobulin kappa locus at 2p11.2
IGKV1-22		2p11.2	28936	Immunoglobulin kappa locus at 2p11.2
IGKV1-27	IGKV127, A20	2p11.2	28935	Immunoglobulin kappa locus at 2p11.2
IGKV1-32		2p11.2	28934	Immunoglobulin kappa locus at 2p11.2
IGKV1-33	IGKV133, O18	2p11.2	28933	Immunoglobulin kappa locus at 2p11.2
IGKV1-35		2p11.2	28932	Immunoglobulin kappa locus at 2p11.2
IGKV1-37	IGKV137, O14	2p11.2	28931	Immunoglobulin kappa locus at 2p11.2
IGKV1-39		2p11.2	28930	Immunoglobulin kappa locus at 2p11.2
IGKV1D-8		2p11.2	28904	Immunoglobulin kappa locus at 2p11.2
IGKV1D-12		2p11.2	28903	Immunoglobulin kappa locus at 2p11.2
IGKV1D-13		2p11.2	28902	Immunoglobulin kappa locus at 2p11.2
IGKV1D-16		2p11.2	28901	Immunoglobulin kappa locus at 2p11.2
IGKV1D-17		2p11.2	28900	Immunoglobulin kappa locus at 2p11.2
IGKV1D-22		2p11.2	28899	Immunoglobulin kappa locus at 2p11.2
IGKV1D-27		2p11.2	28898	Immunoglobulin kappa locus at 2p11.2
IGKV1D-32		2p11.2	28897	Immunoglobulin kappa locus at 2p11.2
IGKV1D-33		2p11.2	28896	Immunoglobulin kappa locus at 2p11.2
IGKV1D-35		2p11.2	28895	Immunoglobulin kappa locus at 2p11.2
IGKV1D-37	IGKV1D37, O4	2p11.2	28894	Immunoglobulin kappa locus at 2p11.2
IGKV1D-39		2p11.2	28893	Immunoglobulin kappa locus at 2p11.2
IGKV1D-42		2p11.2	28892	Immunoglobulin kappa locus at 2p11.2
IGKV1D-43		2p11.2	28891	Immunoglobulin kappa locus at 2p11.2
IGKV1OR-2	IGKV1/OR-2	9q21.11	3532	Immunoglobulin kappa (IGK) orphons
IGKV1OR-3	IGKV1/OR-3	9q12	644731	Immunoglobulin kappa (IGK) orphons
IGKV1OR-4	IGKV1/OR-4	reserved	3534	Immunoglobulin kappa (IGK) orphons
IGKV1OR1-1	IGKV1/OR1-1	1	3525	Immunoglobulin kappa (IGK) orphons
IGKV1OR2-0	IGKV1/OR2-0	2p11.2	28867	Immunoglobulin kappa (IGK) orphons
IGKV1OR2-1	IGKV1/OR-1, IGKV1/OR2-1	2p11.1	3531	Immunoglobulin kappa (IGK) orphons
IGKV1OR2-2	IGKV1/OR2-2	2p11.1		
IGKV1OR2-3	IGKV1/OR2-3	2q11.2	28866	Immunoglobulin kappa (IGK) orphons
IGKV1OR2-6	IGKV1/OR2-6	2q11.2	28865	Immunoglobulin kappa (IGK) orphons
IGKV1OR2-9	IGKV1/OR2-9	2q11.2	28864	Immunoglobulin kappa (IGK) orphons
IGKV1OR2-11	IGKV1/OR2-11	2q11.2	28863	Immunoglobulin kappa (IGK) orphons
IGKV1OR2-108	IGKV1/OR2-108, IGKV1OR2108, IGO1	2q12-q14	28862	Immunoglobulin kappa (IGK) orphons
IGKV1OR2-118	IGKV1/OR2-118	2p11.2	339562	Immunoglobulin kappa (IGK) orphons
IGKV1OR9-1	IGKV1/OR9-1	9q21.11		
IGKV1OR9-2	IGKV1/OR9-2	9p12		
IGKV1OR10-1	IGKV1/OR10-1	10q11.21	642424	Immunoglobulin kappa (IGK) orphons
IGKV1OR15-118	IGKV1/OR-118, IGKV1/OR15-118	15 not on reference assembly	100312985	Immunoglobulin kappa (IGK) orphons
IGKV1OR22-1	IGKV1/OR22-1	22q11	3530	Immunoglobulin kappa (IGK) orphons
IGKV1OR22-5	IGKV1/OR22-5, IGKV1/OR22-5A	22q11	28850	Immunoglobulin kappa (IGK) orphons
IGKV1ORY-1	IGKV1/ORY-1	Yq11.21	439957	Immunoglobulin kappa (IGK) orphons
IGKV2-4		2p11.2	28929	Immunoglobulin kappa locus at 2p11.2
IGKV2-10		2p11.2	28928	Immunoglobulin kappa locus at 2p11.2
IGKV2-14		2p11.2	28927	Immunoglobulin kappa locus at 2p11.2
IGKV2-18		2p11.2	28926	Immunoglobulin kappa locus at 2p11.2
IGKV2-19		2p11.2	28925	Immunoglobulin kappa locus at 2p11.2
IGKV2-23		2p11.2	28924	Immunoglobulin kappa locus at 2p11.2
IGKV2-24		2p11.2	28923	Immunoglobulin kappa locus at 2p11.2
IGKV2-26		2p11.2	28922	Immunoglobulin kappa locus at 2p11.2
IGKV2-28		2p11.2	28921	Immunoglobulin kappa locus at 2p11.2
IGKV2-29		2p11.2	28920	Immunoglobulin kappa locus at 2p11.2
IGKV2-30		2p11.2	28919	Immunoglobulin kappa locus at 2p11.2
IGKV2-36		2p11.2	28918	Immunoglobulin kappa locus at 2p11.2
IGKV2-38		2p11.2	28917	Immunoglobulin kappa locus at 2p11.2
IGKV2-40		2p11.2	28916	Immunoglobulin kappa locus at 2p11.2
IGKV2D-10		2p11.2	28890	Immunoglobulin kappa locus at 2p11.2
IGKV2D-14		2p11.2	28889	Immunoglobulin kappa locus at 2p11.2
IGKV2D-18		2p11.2	28888	Immunoglobulin kappa locus at 2p11.2
IGKV2D-19		2p11.2	28887	Immunoglobulin kappa locus at 2p11.2
IGKV2D-23		2p11.2	28886	Immunoglobulin kappa locus at 2p11.2
IGKV2D-24		2p11.2	28885	Immunoglobulin kappa locus at 2p11.2
IGKV2D-26		2p11.2	28884	Immunoglobulin kappa locus at 2p11.2
IGKV2D-28		2p11.2	28883	Immunoglobulin kappa locus at 2p11.2
IGKV2D-29		2p11.2	28882	Immunoglobulin kappa locus at 2p11.2
IGKV2D-30		2p11.2	28881	Immunoglobulin kappa locus at 2p11.2
IGKV2D-36		2p11.2	28880	Immunoglobulin kappa locus at 2p11.2
IGKV2D-38		2p11.2	28879	Immunoglobulin kappa locus at 2p11.2
IGKV2D-40		2p11.2	28878	Immunoglobulin kappa locus at 2p11.2
IGKV2OR2-1	IGKV2/OR2-1, IGKV2/OR2-1A	2q11.2	28861	Immunoglobulin kappa (IGK) orphons
IGKV2OR2-2	IGKV2/OR2-2	2q11.2	28859	Immunoglobulin kappa (IGK) orphons
IGKV2OR2-4	IGKV2/OR2-4	2q11.2	28858	Immunoglobulin kappa (IGK) orphons
IGKV2OR2-7	IGKV2/OR2-7	2q11.2	652873	Immunoglobulin kappa (IGK) orphons
IGKV2OR2-7D	IGKV2/OR2-7D	2q11.2	100310869	Immunoglobulin kappa (IGK) orphons
IGKV2OR2-8	IGKV2/OR2-8	2q11.2	100996600	Immunoglobulin kappa (IGK) orphons
IGKV2OR2-10	IGKV2/OR2-10	2q11.2	28855	Immunoglobulin kappa (IGK) orphons
IGKV2OR22-3	IGKV2/OR22-3	22q11	3529	Immunoglobulin kappa (IGK) orphons
IGKV2OR22-4	IGKV2/OR22-4	22q11	28847	Immunoglobulin kappa (IGK) orphons
IGKV3-7		2p11.2	28915	Immunoglobulin kappa locus at 2p11.2
IGKV3-11		2p11.2	28914	Immunoglobulin kappa locus at 2p11.2
IGKV3-15		2p11.2	28913	Immunoglobulin kappa locus at 2p11.2
IGKV3-20		2p11.2	28912	Immunoglobulin kappa locus at 2p11.2
IGKV3-25		2p11.2	28911	Immunoglobulin kappa locus at 2p11.2
IGKV3-31		2p11.2	28910	Immunoglobulin kappa locus at 2p11.2
IGKV3-34		2p11.2	28909	Immunoglobulin kappa locus at 2p11.2
IGKV3D-7		2p11.2	28877	Immunoglobulin kappa locus at 2p11.2
IGKV3D-11		2p11.2	28876	Immunoglobulin kappa locus at 2p11.2
IGKV3D-15		2p11.2	28875	Immunoglobulin kappa locus at 2p11.2
IGKV3D-20		2p11.2	28874	Immunoglobulin kappa locus at 2p11.2
IGKV3D-25		2p11.2	28873	Immunoglobulin kappa locus at 2p11.2
IGKV3D-31		2p11.2	28872	Immunoglobulin kappa locus at 2p11.2
IGKV3D-34		2p11.2	28871	Immunoglobulin kappa locus at 2p11.2
IGKV3OR2-5	IGKV3/OR2-5	2q11.2	28854	Immunoglobulin kappa (IGK) orphons
IGKV3OR2-268	IGKV3/OR2-268, IGKV3/OR2-268A	2p12	3523	Immunoglobulin kappa (IGK) orphons
IGKV3OR22-2	IGKV3/OR22-2	22q11	3527	Immunoglobulin kappa (IGK) orphons
IGKV4-1	IGKV41, B3	2p11.2	28908	Immunoglobulin kappa locus at 2p11.2
IGKV5-2	IGKV52, B2	2p11.2	28907	Immunoglobulin kappa locus at 2p11.2
IGKV6-21	IGKV621, A26	2p11.2	28906	Immunoglobulin kappa locus at 2p11.2
IGKV6D-21	IGKV6D21, A10	2p11.2	28870	Immunoglobulin kappa locus at 2p11.2
IGKV6D-41		2p11.2	28869	Immunoglobulin kappa locus at 2p11.2
IGKV7-3		2p11.2	28905	Immunoglobulin kappa locus at 2p11.2
IGL		22q11.2	3535	Immunoglobulin lambda locus at 22q11.2
IGLC1		22q11.2	3537	Immunoglobulin lambda locus at 22q11.2
IGLC2		22q11.2	3538	Immunoglobulin lambda locus at 22q11.2
IGLC3		22q11.2	3539	Immunoglobulin lambda locus at 22q11.2
IGLC4		22q11.2	3540	Immunoglobulin lambda locus at 22q11.2
IGLC5		22q11.2	3541	Immunoglobulin lambda locus at 22q11.2
IGLC6		22q11.2	3542	Immunoglobulin lambda locus at 22q11.2
IGLC7		22q11.2	28834	Immunoglobulin lambda locus at 22q11.2
IGLCOR22-1	IGLC/OR22-1	22q12.2-q12.3	84096	Immunoglobulin lambda (IGL) orphons
IGLCOR22-2	IGLC/OR22-2	22q12.2-q12.3	84086	Immunoglobulin lambda (IGL) orphons
IGLJ1		22q11.2	28833	Immunoglobulin lambda locus at 22q11.2
IGLJ2		22q11.2	28832	Immunoglobulin lambda locus at 22q11.2
IGLJ3		22q11.2	28831	Immunoglobulin lambda locus at 22q11.2
IGLJ4		22q11.2	28830	Immunoglobulin lambda locus at 22q11.2
IGLJ5		22q11.2	28829	Immunoglobulin lambda locus at 22q11.2
IGLJ6		22q11.2	28828	Immunoglobulin lambda locus at 22q11.2
IGLJ7		22q11.2	28827	Immunoglobulin lambda locus at 22q11.2
IGLJCOR18	IGLJ-COR18, IGLJ-C/OR18	18p11.31	204777	Immunoglobulin lambda (IGL) orphons
IGLL1	IGVPB, IGL5, 14.1, CD179B	22q11.23	3543	C1-set domain containing|CD molecules
IGLL2P	FLAMBDA1, 16.2, IGLL1P	22q11.23	3544	
IGLL3P	16.1	22q11.23	91353	
IGLL4P		22q11.21	100287528	
IGLL5		22q11.22	100423062	C1-set domain containing
IGLON5	LOC402665	19q13.41	402665	V-set domain containing|IgLON cell adhesion molecules|Immunoglobulin-like domain containing
IGLP1		6p21.3	7925	
IGLP2		6p21.3	7926	
IGLV1-36		22q11.2	28826	Immunoglobulin lambda locus at 22q11.2
IGLV1-40		22q11.2	28825	Immunoglobulin lambda locus at 22q11.2
IGLV1-41		22q11.2	28824	Immunoglobulin lambda locus at 22q11.2
IGLV1-44		22q11.2	28823	Immunoglobulin lambda locus at 22q11.2
IGLV1-47		22q11.2	28822	Immunoglobulin lambda locus at 22q11.2
IGLV1-50		22q11.2	28821	Immunoglobulin lambda locus at 22q11.2
IGLV1-51		22q11.2	28820	Immunoglobulin lambda locus at 22q11.2
IGLV1-62		22q11.2	28819	Immunoglobulin lambda locus at 22q11.2
IGLV2-5		22q11.2	28818	Immunoglobulin lambda locus at 22q11.2
IGLV2-8		22q11.22	28817	Immunoglobulin lambda locus at 22q11.2
IGLV2-11		22q11.2	28816	Immunoglobulin lambda locus at 22q11.2
IGLV2-14		22q11.2	28815	Immunoglobulin lambda locus at 22q11.2
IGLV2-18		22q11.2	28814	Immunoglobulin lambda locus at 22q11.2
IGLV2-23		22q11.2	28813	Immunoglobulin lambda locus at 22q11.2
IGLV2-28		22q11.2	28812	Immunoglobulin lambda locus at 22q11.2
IGLV2-33		22q11.2	28811	Immunoglobulin lambda locus at 22q11.2
IGLV2-34		22q11.2	28810	Immunoglobulin lambda locus at 22q11.2
IGLV3-1		22q11.2	28809	Immunoglobulin lambda locus at 22q11.2
IGLV3-2		22q11.2	28808	Immunoglobulin lambda locus at 22q11.2
IGLV3-4		22q11.2	28807	Immunoglobulin lambda locus at 22q11.2
IGLV3-6		22q11.2	28806	Immunoglobulin lambda locus at 22q11.2
IGLV3-7		22q11.2	28805	Immunoglobulin lambda locus at 22q11.2
IGLV3-9		22q11.2	28804	Immunoglobulin lambda locus at 22q11.2
IGLV3-10		22q11.2	28803	Immunoglobulin lambda locus at 22q11.2
IGLV3-12		22q11.2	28802	Immunoglobulin lambda locus at 22q11.2
IGLV3-13		22q11.2	28801	Immunoglobulin lambda locus at 22q11.2
IGLV3-15		22q11.2	28800	Immunoglobulin lambda locus at 22q11.2
IGLV3-16		22q11.2	28799	Immunoglobulin lambda locus at 22q11.2
IGLV3-17		22q11.2	28798	Immunoglobulin lambda locus at 22q11.2
IGLV3-19		22q11.2	28797	Immunoglobulin lambda locus at 22q11.2
IGLV3-21		22q11.2	28796	Immunoglobulin lambda locus at 22q11.2
IGLV3-22		22q11.2	28795	Immunoglobulin lambda locus at 22q11.2
IGLV3-24		22q11.2	28794	Immunoglobulin lambda locus at 22q11.2
IGLV3-25		22q11.2	28793	Immunoglobulin lambda locus at 22q11.2
IGLV3-26		22q11.2	28792	Immunoglobulin lambda locus at 22q11.2
IGLV3-27		22q11.2	28791	Immunoglobulin lambda locus at 22q11.2
IGLV3-29		22q11.2	28790	Immunoglobulin lambda locus at 22q11.2
IGLV3-30		22q11.2	28789	Immunoglobulin lambda locus at 22q11.2
IGLV3-31		22q11.2	28788	Immunoglobulin lambda locus at 22q11.2
IGLV3-32		22q11.2	28787	Immunoglobulin lambda locus at 22q11.2
IGLV4-3		22q11.2	28786	Immunoglobulin lambda locus at 22q11.2
IGLV4-60		22q11.2	28785	Immunoglobulin lambda locus at 22q11.2
IGLV4-69		22q11.2	28784	Immunoglobulin lambda locus at 22q11.2
IGLV5-37		22q11.2	28783	Immunoglobulin lambda locus at 22q11.2
IGLV5-39		22q11.2 alternate reference locus	28782	Immunoglobulin lambda locus at 22q11.2
IGLV5-45		22q11.2	28781	Immunoglobulin lambda locus at 22q11.2
IGLV5-48		22q11.2	28780	Immunoglobulin lambda locus at 22q11.2
IGLV5-52		22q11.2	28779	Immunoglobulin lambda locus at 22q11.2
IGLV6-57		22q11.2	28778	Immunoglobulin lambda locus at 22q11.2
IGLV7-35		22q11.2	28777	Immunoglobulin lambda locus at 22q11.2
IGLV7-43		22q11.2	28776	Immunoglobulin lambda locus at 22q11.2
IGLV7-46		22q11.2	28775	Immunoglobulin lambda locus at 22q11.2
IGLV8-61		22q11.2	28774	Immunoglobulin lambda locus at 22q11.2
IGLV8OR8-1	IGLV8/OR8-1	8q11.2	28756	Immunoglobulin lambda (IGL) orphons
IGLV9-49		22q11.2	28773	Immunoglobulin lambda locus at 22q11.2
IGLV10-54		22q11.2	28772	Immunoglobulin lambda locus at 22q11.2
IGLV10-67		22q11.2	28771	Immunoglobulin lambda locus at 22q11.2
IGLV11-55		22q11.2	28770	Immunoglobulin lambda locus at 22q11.2
IGLVI-20	IGLV(I)-20	22q11.2	28769	Immunoglobulin lambda locus at 22q11.2
IGLVI-38	IGLV(I)-38	22q11.2	28768	Immunoglobulin lambda locus at 22q11.2
IGLVI-42	IGLV(I)-42	22q11.2	28767	Immunoglobulin lambda locus at 22q11.2
IGLVI-56	IGLV(I)-56	22q11.2	28766	Immunoglobulin lambda locus at 22q11.2
IGLVI-63	IGLV(I)-63	22q11.2	28765	Immunoglobulin lambda locus at 22q11.2
IGLVI-68	IGLV(I)-68	22q11.2	28764	Immunoglobulin lambda locus at 22q11.2
IGLVI-70	IGLV(I)-70	22q11.2	28763	Immunoglobulin lambda locus at 22q11.2
IGLVIV-53	IGLV(IV)-53	22q11.2	28762	Immunoglobulin lambda locus at 22q11.2
